,,Note: This schedule is as of the opening of the 2019 MLB season.  It is not updated to reflect any postponements or rescheduled games.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019,Ana,Bal,Bos,ChW,Cle,Det,Hou,Kan,Min,NYY,Oak,Sea,Tam,Tex,Tor,Ari,Atl,ChC,Cin,Col,Fla,Los,Mil,NYM,Phi,Pit,Sdg,Sfo,StL,Was
Wed,20-Mar,,,,,,,,,,,Sea,@Oak,,,,,,,,,,,,,,,,,,
Thu,21-Mar,,,,,,,,,,,Sea,@Oak,,,,,,,,,,,,,,,,,,
Fri,22-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat,23-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun,24-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon,25-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue,26-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed,27-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu,28-Mar,@Oak,@NYY,@Sea,@Kan,@Min,@Tor,@Tam,ChW,Cle,Bal,Ana,Bos,Hou,ChC,Det,@Los,@Phi,@Tex,Pit,@Fla,Col,Ari,StL,@Was,Atl,@Cin,Sfo,@Sdg,@Mil,NYM
Fri,29-Mar,@Oak,,@Sea,,,@Tor,@Tam,,,,Ana,Bos,Hou,,Det,@Los,,,,@Fla,Col,Ari,StL,,,,Sfo,@Sdg,@Mil,
Sat,30-Mar,@Oak,@NYY,@Sea,@Kan,@Min,@Tor,@Tam,ChW,Cle,Bal,Ana,Bos,Hou,ChC,Det,@Los,@Phi,@Tex,Pit,@Fla,Col,Ari,StL,@Was,Atl,@Cin,Sfo,@Sdg,@Mil,NYM
Sun,31-Mar,@Oak,@NYY,@Sea,@Kan,@Min,@Tor,@Tam,ChW,Cle,Bal,Ana,Bos,Hou,ChC,Det,@Los,@Phi,@Tex,Pit,@Fla,Col,Ari,StL,@Was,Atl,@Cin,Sfo,@Sdg,@Mil,NYM
Mon,01-Apr,@Sea,@Tor,@Oak,@Cle,ChW,@NYY,@Tex,,,Det,Bos,Ana,Col,Hou,Bal,@Sdg,ChC,@Atl,Mil,@Tam,NYM,Sfo,@Cin,@Fla,,StL,Ari,@Los,@Pit,
Tue,02-Apr,@Sea,@Tor,@Oak,,,@NYY,@Tex,Min,@Kan,Det,Bos,Ana,Col,Hou,Bal,@Sdg,,,Mil,@Tam,NYM,Sfo,@Cin,@Fla,@Was,,Ari,@Los,,Phi
Wed,03-Apr,,@Tor,@Oak,@Cle,ChW,@NYY,@Tex,Min,@Kan,Det,Bos,,Col,Hou,Bal,@Sdg,ChC,@Atl,Mil,@Tam,NYM,Sfo,@Cin,@Fla,@Was,StL,Ari,@Los,@Pit,Phi
Thu,04-Apr,Tex,NYY,@Oak,Sea,Tor,Kan,,@Det,,@Bal,Bos,@ChW,,@Ana,@Cle,,ChC,@Atl,@Pit,,,,,Was,,Cin,@StL,,Sdg,@NYM
Fri,05-Apr,Tex,,@Ari,,Tor,,Oak,,@Phi,,@Hou,,@Sfo,@Ana,@Cle,Bos,Fla,@Mil,@Pit,Los,@Atl,@Col,ChC,,Min,Cin,,Tam,,
Sat,06-Apr,Tex,NYY,@Ari,Sea,Tor,Kan,Oak,@Det,@Phi,@Bal,@Hou,@ChW,@Sfo,@Ana,@Cle,Bos,Fla,@Mil,@Pit,Los,@Atl,@Col,ChC,Was,Min,Cin,@StL,Tam,Sdg,@NYM
Sun,07-Apr,Tex,NYY,@Ari,Sea,Tor,Kan,Oak,@Det,@Phi,@Bal,@Hou,@ChW,@Sfo,@Ana,@Cle,Bos,Fla,@Mil,@Pit,Los,@Atl,@Col,ChC,Was,Min,Cin,@StL,Tam,Sdg,@NYM
Mon,08-Apr,Mil,Oak,,Tam,,,NYY,Sea,,@Hou,@Bal,@Kan,@ChW,,,,@Col,Pit,,Atl,,@StL,@Ana,,Was,@ChC,@Sfo,Sdg,Los,@Phi
Tue,09-Apr,Mil,Oak,Tor,Tam,@Det,Cle,NYY,Sea,@NYM,@Hou,@Bal,@Kan,@ChW,@Ari,@Bos,Tex,@Col,,Fla,Atl,@Cin,@StL,@Ana,Min,Was,,@Sfo,Sdg,Los,@Phi
Wed,10-Apr,Mil,Oak,,Tam,@Det,Cle,NYY,Sea,@NYM,@Hou,@Bal,@Kan,@ChW,@Ari,,Tex,@Col,Pit,Fla,Atl,@Cin,@StL,@Ana,Min,Was,@ChC,@Sfo,Sdg,Los,@Phi
Thu,11-Apr,,Oak,Tor,,@Det,Cle,,Sea,,,@Bal,@Kan,,,@Bos,Sdg,NYM,Pit,Fla,@Sfo,@Cin,@StL,,@Atl,,@ChC,@Ari,Col,Los,
Fri,12-Apr,@ChC,@Bos,Bal,@NYY,@Kan,@Min,@Sea,Cle,Det,ChW,@Tex,Hou,@Tor,Oak,Tam,Sdg,NYM,Ana,,@Sfo,Phi,Mil,@Los,@Atl,@Fla,@Was,@Ari,Col,,Pit
Sat,13-Apr,@ChC,@Bos,Bal,@NYY,@Kan,@Min,@Sea,Cle,Det,ChW,@Tex,Hou,@Tor,Oak,Tam,Sdg,NYM,Ana,StL,@Sfo,Phi,Mil,@Los,@Atl,@Fla,@Was,@Ari,Col,@Cin,Pit
Sun,14-Apr,@ChC,@Bos,Bal,@NYY,@Kan,@Min,@Sea,Cle,Det,ChW,@Tex,Hou,@Tor,Oak,Tam,Sdg,NYM,Ana,StL,@Sfo,Phi,Mil,@Los,@Atl,@Fla,@Was,@Ari,Col,@Cin,Pit
Mon,15-Apr,@Tex,@Bos,Bal,Kan,@Sea,,,@ChW,Tor,,,Cle,,Ana,@Min,,,@Fla,@Los,@Sdg,ChC,Cin,StL,@Phi,NYM,,Col,,@Mil,
Tue,16-Apr,@Tex,@Tam,@NYY,Kan,@Sea,Pit,@Oak,@ChW,Tor,Bos,Hou,Cle,Bal,Ana,@Min,@Atl,Ari,@Fla,@Los,@Sdg,ChC,Cin,StL,@Phi,NYM,@Det,Col,@Was,@Mil,Sfo
Wed,17-Apr,@Tex,@Tam,@NYY,Kan,@Sea,Pit,@Oak,@ChW,Tor,Bos,Hou,Cle,Bal,Ana,@Min,@Atl,Ari,@Fla,@Los,,ChC,Cin,StL,@Phi,NYM,@Det,,@Was,@Mil,Sfo
Thu,18-Apr,Sea,@Tam,,@Det,,ChW,,@NYY,Tor,Kan,,@Ana,Bal,,@Min,@Atl,Ari,,@Sdg,Phi,,@Mil,Los,,@Col,,Cin,@Was,,Sfo
