,Home Team,Away Team,Home Team Score,Away Team Score
0,Los Angeles Dodgers,Arizona D'Backs,3,1
1,Los Angeles Dodgers,Arizona D'Backs,7,5
2,Los Angeles Dodgers,San Diego Padres,1,3
3,Seattle Mariners,LA Angels of Anaheim,10,3
4,San Francisco Giants,Arizona D'Backs,9,8
5,Boston Red Sox,Baltimore Orioles,1,2
6,Minnesota Twins,Chicago White Sox,3,5
7,St. Louis Cardinals,Cincinnati Reds,1,0
8,Kansas City Royals,Detroit Tigers,3,4
9,Colorado Rockies,Miami Marlins,1,10
10,Atlanta Braves,Milwaukee Brewers,0,2
11,Washington Nationals,New York Mets,9,7
12,Cleveland Indians,Oakland Athletics,2,0
13,Chicago Cubs,Pittsburgh Pirates,0,1
14,Toronto Blue Jays,Tampa Bay Rays,2,9
15,Philadelphia Phillies,Texas Rangers,14,10
16,Seattle Mariners,LA Angels of Anaheim,8,3
17,San Francisco Giants,Arizona D'Backs,4,5
18,New York Yankees,Houston Astros,2,6
19,Colorado Rockies,Miami Marlins,3,4
20,Atlanta Braves,Milwaukee Brewers,5,2
21,Los Angeles Dodgers,San Diego Padres,3,2
22,Toronto Blue Jays,Tampa Bay Rays,4,2
23,Philadelphia Phillies,Texas Rangers,2,3
24,Seattle Mariners,LA Angels of Anaheim,8,2
25,San Francisco Giants,Arizona D'Backs,2,0
26,Boston Red Sox,Baltimore Orioles,6,2
27,Minnesota Twins,Chicago White Sox,6,7
28,St. Louis Cardinals,Cincinnati Reds,0,1
29,Kansas City Royals,Detroit Tigers,1,2
30,New York Yankees,Houston Astros,1,3
31,Colorado Rockies,Miami Marlins,6,5
32,Atlanta Braves,Milwaukee Brewers,1,0
33,Washington Nationals,New York Mets,5,1
34,Cleveland Indians,Oakland Athletics,1,6
35,Cleveland Indians,Oakland Athletics,6,4
36,Chicago Cubs,Pittsburgh Pirates,3,4
37,Los Angeles Dodgers,San Diego Padres,5,1
38,Toronto Blue Jays,Tampa Bay Rays,3,0
39,Philadelphia Phillies,Texas Rangers,3,4
40,San Francisco Giants,Arizona D'Backs,8,5
41,Boston Red Sox,Baltimore Orioles,4,3
42,Minnesota Twins,Chicago White Sox,10,9
43,St. Louis Cardinals,Cincinnati Reds,7,6
44,New York Yankees,Houston Astros,4,2
45,Colorado Rockies,Miami Marlins,5,8
46,Washington Nationals,New York Mets,8,2
47,Seattle Mariners,Oakland Athletics,2,3
48,Chicago Cubs,Pittsburgh Pirates,3,2
49,Toronto Blue Jays,Tampa Bay Rays,2,7
50,Milwaukee Brewers,Boston Red Sox,6,2
51,Philadelphia Phillies,Chicago Cubs,7,2
52,Minnesota Twins,Cleveland Indians,2,7
53,Arizona D'Backs,Colorado Rockies,2,12
54,Baltimore Orioles,Detroit Tigers,4,10
55,LA Angels of Anaheim,Houston Astros,11,1
56,Chicago White Sox,Kansas City Royals,5,7
57,San Francisco Giants,Los Angeles Dodgers,8,4
58,San Diego Padres,Miami Marlins,2,8
59,Cincinnati Reds,New York Mets,3,4
60,St. Louis Cardinals,Pittsburgh Pirates,2,12
61,Texas Rangers,Tampa Bay Rays,1,8
62,New York Yankees,Toronto Blue Jays,7,3
63,Atlanta Braves,Washington Nationals,2,1
64,Milwaukee Brewers,Boston Red Sox,7,6
65,Philadelphia Phillies,Chicago Cubs,2,0
66,Minnesota Twins,Cleveland Indians,7,3
67,Arizona D'Backs,Colorado Rockies,4,9
