,Home Team,Away Team,Home Team Score,Away Team Score
0,San Francisco Giants,Arizona D'Backs,5,6
1,Chicago Cubs,St. Louis Cardinals,3,4
2,New York Yankees,Tampa Bay Rays,3,7
3,Toronto Blue Jays,Baltimore Orioles,2,3
4,Pittsburgh Pirates,Boston Red Sox,3,5
5,Philadelphia Phillies,Cincinnati Reds,4,3
6,Seattle Mariners,Houston Astros,0,3
7,San Diego Padres,Los Angeles Dodgers,3,14
8,Colorado Rockies,Milwaukee Brewers,7,5
9,Kansas City Royals,Minnesota Twins,1,7
10,Atlanta Braves,New York Mets,0,6
11,Los Angeles Angels,Oakland Athletics,2,4
12,Cleveland Indians,Texas Rangers,8,5
13,Miami Marlins,Washington Nationals,2,4
14,San Francisco Giants,Arizona D'Backs,8,4
15,Detroit Tigers,Chicago White Sox,6,3
16,Seattle Mariners,Houston Astros,1,2
17,San Diego Padres,Los Angeles Dodgers,4,0
18,Colorado Rockies,Milwaukee Brewers,6,5
19,Los Angeles Angels,Oakland Athletics,7,6
20,Chicago Cubs,St. Louis Cardinals,2,1
21,New York Yankees,Tampa Bay Rays,5,0
22,Cleveland Indians,Texas Rangers,4,3
23,San Francisco Giants,Arizona D'Backs,6,8
24,Toronto Blue Jays,Baltimore Orioles,1,3
25,Pittsburgh Pirates,Boston Red Sox,0,3
26,Philadelphia Phillies,Cincinnati Reds,0,2
27,Seattle Mariners,Houston Astros,3,5
28,San Diego Padres,Los Angeles Dodgers,1,3
29,Colorado Rockies,Milwaukee Brewers,1,6
30,Kansas City Royals,Minnesota Twins,1,9
31,Atlanta Braves,New York Mets,3,1
32,Los Angeles Angels,Oakland Athletics,5,0
33,New York Yankees,Tampa Bay Rays,1,4
34,Cleveland Indians,Texas Rangers,9,6
35,Miami Marlins,Washington Nationals,4,6
36,San Francisco Giants,Arizona D'Backs,3,9
37,Detroit Tigers,Chicago White Sox,2,11
38,Philadelphia Phillies,Cincinnati Reds,4,7
39,Seattle Mariners,Houston Astros,4,2
40,San Diego Padres,Los Angeles Dodgers,2,10
41,Colorado Rockies,Milwaukee Brewers,2,1
42,Kansas City Royals,Minnesota Twins,3,5
43,Atlanta Braves,New York Mets,2,6
44,Los Angeles Angels,Oakland Athletics,1,5
45,Chicago Cubs,St. Louis Cardinals,6,4
46,Toronto Blue Jays,Tampa Bay Rays,5,2
47,Miami Marlins,Washington Nationals,4,3
48,Seattle Mariners,Los Angeles Angels,1,5
49,Cleveland Indians,Arizona D'Backs,3,7
50,New York Yankees,Baltimore Orioles,5,6
51,Minnesota Twins,Chicago White Sox,3,1
52,Los Angeles Dodgers,Colorado Rockies,1,2
53,Boston Red Sox,Detroit Tigers,5,6
54,Kansas City Royals,Houston Astros,5,1
55,Chicago Cubs,Milwaukee Brewers,1,2
56,Miami Marlins,New York Mets,7,2
57,Washington Nationals,Philadelphia Phillies,7,6
58,Atlanta Braves,Pittsburgh Pirates,4,5
59,San Francisco Giants,San Diego Padres,6,7
60,Cincinnati Reds,St. Louis Cardinals,2,0
61,Toronto Blue Jays,Tampa Bay Rays,8,10
62,Oakland Athletics,Texas Rangers,5,10
63,Seattle Mariners,Los Angeles Angels,4,5
64,Cleveland Indians,Arizona D'Backs,2,11
65,New York Yankees,Baltimore Orioles,4,5
66,Minnesota Twins,Chicago White Sox,2,6
67,Los Angeles Dodgers,Colorado Rockies,2,4
68,Boston Red Sox,Detroit Tigers,1,4
69,Kansas City Royals,Houston Astros,7,3
70,Chicago Cubs,Milwaukee Brewers,11,6
71,Miami Marlins,New York Mets,8,1
72,Washington Nationals,Philadelphia Phillies,3,17
73,Atlanta Braves,Pittsburgh Pirates,4,6
74,San Francisco Giants,San Diego Padres,1,2
75,Cincinnati Reds,St. Louis Cardinals,4,10
76,Toronto Blue Jays,Tampa Bay Rays,2,3
77,Oakland Athletics,Texas Rangers,6,1
78,Seattle Mariners,Los Angeles Angels,9,10
79,Cleveland Indians,Arizona D'Backs,2,3
80,New York Yankees,Baltimore Orioles,7,3
81,Minnesota Twins,Chicago White Sox,4,1
82,Los Angeles Dodgers,Colorado Rockies,10,6
83,Boston Red Sox,Detroit Tigers,7,5
84,Kansas City Royals,Houston Astros,4,5
85,Chicago Cubs,Milwaukee Brewers,7,4
86,Miami Marlins,New York Mets,2,5
87,Washington Nationals,Philadelphia Phillies,3,4
88,Atlanta Braves,Pittsburgh Pirates,5,6
89,San Francisco Giants,San Diego Padres,5,3
90,Cincinnati Reds,St. Louis Cardinals,8,0
91,Toronto Blue Jays,Tampa Bay Rays,2,7
92,Oakland Athletics,Texas Rangers,1,8
93,Los Angeles Dodgers,Chicago Cubs,2,3
94,San Diego Padres,Colorado Rockies,5,3
95,Boston Red Sox,Detroit Tigers,1,2
96,Oakland Athletics,Kansas City Royals,2,0
97,Tampa Bay Rays,New York Yankees,1,8
98,New York Mets,Philadelphia Phillies,4,3
99,Cincinnati Reds,Pittsburgh Pirates,7,1
100,Houston Astros,Seattle Mariners,0,6
101,Arizona D'Backs,San Francisco Giants,1,4
102,St. Louis Cardinals,Washington Nationals,6,14
103,Texas Rangers,Los Angeles Angels,5,6
104,Baltimore Orioles,Boston Red Sox,1,8
