,Team,Elo Rating
0,New York Mets,1500
1,St. Louis Cardinals,1500
2,Toronto Blue Jays,1500
3,Chicago Cubs,1500
4,Colorado Rockies,1500
5,Washington Nationals,1500
6,Minnesota Twins,1500
7,Philadelphia Phillies,1500
8,San Francisco Giants,1500
9,Chicago White Sox,1500
10,Los Angeles Dodgers,1500
11,Seattle Mariners,1500
12,Boston Red Sox,1500
13,Detroit Tigers,1500
14,Houston Astros,1500
15,Texas Rangers,1500
16,Miami Marlins,1500
17,Tampa Bay Rays,1500
18,Cleveland Indians,1500
19,Pittsburgh Pirates,1500
20,San Diego Padres,1500
21,New York Yankees,1500
22,Oakland Athletics,1500
23,Baltimore Orioles,1500
24,Cincinnati Reds,1500
25,Kansas City Royals,1500
26,Los Angeles Angels,1500
27,Milwaukee Brewers,1500
28,Atlanta Braves,1500
29,Arizona D'Backs,1500
