,Team,Elo Rating
0,Los Angeles Dodgers,1500
1,Seattle Mariners,1500
2,San Francisco Giants,1500
3,Boston Red Sox,1500
4,Minnesota Twins,1500
5,St. Louis Cardinals,1500
6,Kansas City Royals,1500
7,Colorado Rockies,1500
8,Atlanta Braves,1500
9,Washington Nationals,1500
10,Cleveland Indians,1500
11,Chicago Cubs,1500
12,Toronto Blue Jays,1500
13,Philadelphia Phillies,1500
14,New York Yankees,1500
15,Milwaukee Brewers,1500
16,Arizona D'Backs,1500
17,Baltimore Orioles,1500
18,LA Angels of Anaheim,1500
19,Chicago White Sox,1500
20,San Diego Padres,1500
21,Cincinnati Reds,1500
22,Texas Rangers,1500
23,Tampa Bay Rays,1500
24,Oakland Athletics,1500
25,New York Mets,1500
26,Pittsburgh Pirates,1500
27,Detroit Tigers,1500
28,Houston Astros,1500
29,Miami Marlins,1500
