,Season,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
1,2011.0,Red Sox,2269.0,6414.0,203.0,875.0,842.0,102.0,0.09,0.17300000000000001,0.181,0.314,0.28,0.349,0.461,0.352,117.0,-12.2,114.3,21.1,36.2
2,2016.0,Cubs,2194.0,6335.0,199.0,808.0,767.0,66.0,0.10400000000000001,0.21100000000000002,0.173,0.302,0.256,0.343,0.429,0.333,106.0,17.3,61.3,89.6,36.1
3,2015.0,Blue Jays,2337.0,6231.0,232.0,891.0,852.0,88.0,0.091,0.185,0.188,0.298,0.269,0.34,0.457,0.344,117.0,11.0,135.9,-0.4,35.8
4,2013.0,Red Sox,2264.0,6382.0,178.0,853.0,819.0,123.0,0.091,0.205,0.169,0.329,0.277,0.349,0.446,0.347,114.0,13.3,116.7,9.8,35.8
5,2016.0,Red Sox,1823.0,6320.0,208.0,878.0,836.0,83.0,0.08800000000000001,0.184,0.179,0.32,0.282,0.348,0.461,0.346,113.0,10.6,109.9,18.0,34.8
6,2012.0,Angels,2267.0,6121.0,187.0,767.0,732.0,134.0,0.073,0.182,0.159,0.311,0.274,0.332,0.433,0.331,113.0,13.5,109.8,20.7,34.8
7,2011.0,Rangers,2186.0,6261.0,210.0,855.0,807.0,143.0,0.076,0.149,0.177,0.304,0.283,0.34,0.46,0.347,112.0,20.6,107.4,17.2,34.6
8,2010.0,Reds,2370.0,6285.0,188.0,790.0,761.0,93.0,0.083,0.19399999999999998,0.164,0.314,0.272,0.338,0.436,0.34,106.0,12.7,57.2,80.5,34.5
9,2009.0,Rays,2345.0,6223.0,199.0,803.0,765.0,194.0,0.10300000000000001,0.19699999999999998,0.177,0.303,0.263,0.343,0.439,0.342,109.0,21.6,90.5,31.6,33.5
10,2008.0,Red Sox,2293.0,6402.0,173.0,845.0,807.0,120.0,0.10099999999999999,0.16699999999999998,0.168,0.315,0.28,0.358,0.447,0.351,110.0,-4.7,72.2,43.3,33.4
11,2009.0,Yankees,2369.0,6449.0,244.0,915.0,881.0,111.0,0.10300000000000001,0.157,0.194,0.306,0.283,0.362,0.478,0.365,117.0,0.2,137.5,-24.8,33.3
12,2017.0,Astros,2313.0,6271.0,238.0,896.0,854.0,98.0,0.081,0.17300000000000001,0.196,0.309,0.282,0.346,0.478,0.349,122.0,-0.4,167.9,-49.9,33.3
13,2014.0,Dodgers,2364.0,6231.0,134.0,718.0,686.0,138.0,0.083,0.2,0.14,0.318,0.265,0.333,0.406,0.327,112.0,-0.4,81.4,33.5,33.2
14,2018.0,Dodgers,2574.0,6358.0,235.0,804.0,756.0,75.0,0.102,0.226,0.191,0.294,0.25,0.333,0.442,0.333,111.0,11.4,99.0,20.5,33.0
15,2011.0,Yankees,2301.0,6306.0,222.0,867.0,836.0,147.0,0.099,0.18,0.181,0.292,0.263,0.343,0.444,0.345,113.0,6.6,101.6,6.3,33.0
16,2008.0,Cardinals,2396.0,6370.0,174.0,779.0,744.0,73.0,0.091,0.155,0.152,0.312,0.281,0.35,0.433,0.342,107.0,-10.0,46.4,72.3,32.4
17,2010.0,Yankees,2313.0,6379.0,201.0,859.0,823.0,103.0,0.10400000000000001,0.17800000000000002,0.169,0.3,0.267,0.35,0.436,0.346,112.0,12.1,101.5,-8.1,32.3
