,Season,Team,W,L,SV,G,GS,IP,SO,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR
1,2015.0,Cardinals,100.0,62.0,62.0,677.0,162.0,1464.2,1329.0,8.17,2.93,0.76,0.297,0.794,0.48,0.094,2.94,3.48,3.71,21.3
2,2011.0,Phillies,102.0,60.0,47.0,556.0,162.0,1477.0,1299.0,7.92,2.46,0.73,0.286,0.775,0.465,0.083,3.02,3.24,3.41,28.1
3,2014.0,Nationals,96.0,66.0,45.0,620.0,162.0,1470.2,1288.0,7.88,2.15,0.67,0.294,0.7490000000000001,0.44799999999999995,0.075,3.03,3.18,3.43,23.7
4,2018.0,Astros,103.0,59.0,46.0,672.0,162.0,1455.0,1687.0,10.44,2.69,0.94,0.283,0.779,0.44,0.11599999999999999,3.11,3.23,3.36,30.6
5,2016.0,Cubs,103.0,58.0,38.0,665.0,162.0,1459.2,1441.0,8.88,3.05,1.01,0.255,0.775,0.469,0.131,3.15,3.77,3.74,20.4
6,2014.0,Mariners,87.0,75.0,51.0,659.0,162.0,1452.0,1317.0,8.16,2.87,0.85,0.275,0.768,0.45399999999999996,0.099,3.17,3.61,3.57,15.6
7,2013.0,Braves,96.0,66.0,53.0,628.0,162.0,1450.1,1232.0,7.65,2.54,0.79,0.288,0.77,0.45799999999999996,0.094,3.18,3.44,3.58,18.4
8,2012.0,Rays,90.0,72.0,50.0,634.0,162.0,1459.2,1383.0,8.53,2.89,0.86,0.277,0.755,0.479,0.107,3.19,3.51,3.59,23.5
9,2011.0,Giants,86.0,76.0,52.0,642.0,162.0,1468.0,1316.0,8.07,3.43,0.59,0.283,0.7440000000000001,0.46399999999999997,0.069,3.21,3.33,3.66,20.5
10,2014.0,Athletics,88.0,74.0,31.0,603.0,162.0,1463.1,1244.0,7.65,2.5,0.9,0.272,0.759,0.456,0.1,3.22,3.67,3.6,15.4
11,2015.0,Pirates,98.0,64.0,54.0,662.0,162.0,1489.2,1338.0,8.08,2.74,0.66,0.302,0.75,0.504,0.094,3.23,3.36,3.56,22.5
12,2013.0,Dodgers,92.0,70.0,46.0,666.0,162.0,1450.1,1292.0,8.02,2.85,0.79,0.291,0.755,0.47100000000000003,0.099,3.25,3.45,3.52,20.2
13,2014.0,Padres,77.0,85.0,41.0,643.0,162.0,1438.2,1284.0,8.03,2.89,0.73,0.289,0.7490000000000001,0.452,0.086,3.27,3.46,3.57,15.9
14,2013.0,Pirates,94.0,68.0,55.0,627.0,162.0,1470.2,1261.0,7.72,3.15,0.62,0.285,0.75,0.525,0.08900000000000001,3.27,3.42,3.58,17.9
15,2017.0,Indians,102.0,60.0,37.0,659.0,162.0,1440.2,1614.0,10.08,2.54,1.02,0.303,0.775,0.441,0.13,3.3,3.33,3.41,32.0
16,2012.0,Nationals,98.0,64.0,51.0,644.0,162.0,1468.1,1325.0,8.12,3.05,0.79,0.282,0.7509999999999999,0.46299999999999997,0.092,3.34,3.54,3.8,19.3
17,2012.0,Reds,97.0,65.0,56.0,587.0,162.0,1453.0,1248.0,7.73,2.64,0.94,0.288,0.769,0.45899999999999996,0.107,3.34,3.72,3.8,20.9
18,2012.0,Dodgers,86.0,76.0,40.0,668.0,162.0,1449.2,1276.0,7.92,3.35,0.76,0.283,0.748,0.455,0.08900000000000001,3.35,3.64,3.93,19.5
19,2015.0,Cubs,97.0,65.0,48.0,714.0,162.0,1461.1,1431.0,8.81,2.51,0.83,0.287,0.727,0.466,0.107,3.36,3.3,3.37,24.2
20,2010.0,Giants,92.0,70.0,57.0,638.0,162.0,1461.0,1331.0,8.2,3.56,0.83,0.282,0.77,0.42,0.08,3.36,3.74,3.94,18.5
21,2017.0,Dodgers,104.0,58.0,51.0,698.0,162.0,1444.2,1549.0,9.65,2.75,1.15,0.281,0.778,0.42700000000000005,0.134,3.38,3.67,3.7,24.4
22,2013.0,Reds,90.0,72.0,43.0,623.0,162.0,1473.2,1296.0,7.91,2.66,1.04,0.273,0.775,0.441,0.115,3.38,3.81,3.68,17.0
23,2014.0,Braves,79.0,83.0,54.0,634.0,162.0,1455.0,1301.0,8.05,2.92,0.75,0.3,0.75,0.42700000000000005,0.083,3.38,3.47,3.63,16.4
24,2018.0,Dodgers,92.0,71.0,48.0,756.0,163.0,1476.0,1565.0,9.54,2.57,1.09,0.284,0.762,0.449,0.134,3.4,3.6,3.52,20.5
25,2014.0,Dodgers,94.0,68.0,47.0,658.0,162.0,1464.2,1373.0,8.44,2.64,0.87,0.292,0.74,0.478,0.10800000000000001,3.4,3.48,3.33,18.0
26,2010.0,Padres,90.0,72.0,49.0,661.0,162.0,1456.1,1295.0,8.0,3.2,0.86,0.286,0.767,0.46,0.09300000000000001,3.41,3.66,3.67,17.5
27,2009.0,Dodgers,95.0,67.0,44.0,688.0,162.0,1473.1,1272.0,7.77,3.57,0.78,0.275,0.7490000000000001,0.43700000000000006,0.081,3.41,3.8,4.07,20.8
28,2012.0,Braves,94.0,68.0,47.0,622.0,162.0,1445.1,1232.0,7.67,2.89,0.9,0.284,0.754,0.47200000000000003,0.10800000000000001,3.42,3.74,3.8,15.4
29,2011.0,Padres,71.0,91.0,44.0,651.0,162.0,1449.1,1139.0,7.07,3.24,0.78,0.283,0.745,0.44,0.08199999999999999,3.43,3.73,3.93,13.4
30,2013.0,Cardinals,97.0,65.0,44.0,645.0,162.0,1459.2,1254.0,7.73,2.78,0.69,0.297,0.745,0.485,0.085,3.43,3.39,3.63,19.6
31,2014.0,Orioles,96.0,66.0,53.0,641.0,162.0,1461.1,1174.0,7.23,2.91,0.93,0.28,0.77,0.43799999999999994,0.098,3.44,3.96,3.92,13.6
32,2013.0,Royals,86.0,76.0,52.0,589.0,162.0,1448.1,1208.0,7.51,2.91,0.96,0.29,0.769,0.418,0.1,3.45,3.83,3.9,16.5
33,2015.0,Mets,90.0,72.0,50.0,647.0,162.0,1462.2,1337.0,8.23,2.36,0.94,0.288,0.743,0.46299999999999997,0.10800000000000001,3.45,3.53,3.6,20.7
34,2015.0,Dodgers,92.0,70.0,47.0,677.0,162.0,1445.2,1396.0,8.69,2.46,0.9,0.296,0.747,0.501,0.121,3.46,3.41,3.33,21.8
35,2011.0,Braves,89.0,73.0,52.0,672.0,162.0,1479.2,1332.0,8.1,3.17,0.76,0.288,0.752,0.475,0.092,3.49,3.49,3.54,18.7
36,2008.0,Blue Jays,86.0,76.0,44.0,583.0,162.0,1446.2,1184.0,7.37,2.91,0.83,0.284,0.748,0.466,0.09300000000000001,3.49,3.81,3.92,23.3
